Timestamp,Value,Anomaly
2024-09-16T09:43:03.705Z,759.3715,0
2024-09-16T09:43:05.708Z,409.7770,0
2024-09-16T09:43:07.712Z,563.6056,0
2024-09-16T09:43:09.714Z,408.4389,0
2024-09-16T09:43:11.722Z,0.6742,0
2024-09-16T09:43:13.732Z,528.9121,0
2024-09-16T09:43:15.740Z,706.8578,0
2024-09-16T09:43:17.742Z,922.1359,1
2024-09-16T09:43:19.753Z,165.1953,0
2024-09-16T09:43:21.757Z,813.2830,1
2024-09-16T09:43:23.769Z,671.6532,0
2024-09-16T09:43:25.769Z,672.2692,0
2024-09-16T09:43:27.776Z,554.8710,0
2024-09-16T09:43:29.784Z,687.4246,0
2024-09-16T09:43:31.791Z,92.9282,0
2024-09-16T09:43:33.798Z,43.7752,0
2024-09-16T09:43:35.800Z,584.7992,0
2024-09-16T09:43:37.800Z,448.2939,0
2024-09-16T09:43:39.804Z,536.8923,0
2024-09-16T09:43:41.810Z,636.4057,0
2024-09-16T09:43:43.813Z,693.1262,0
2024-09-16T09:43:45.816Z,941.9166,1
2024-09-16T09:43:47.820Z,139.9171,0
2024-09-16T09:43:49.826Z,873.5677,1
2024-09-16T09:43:51.840Z,892.4891,1
2024-09-16T09:43:53.841Z,838.7740,1
2024-09-16T09:43:55.842Z,880.9944,1
2024-09-16T09:43:57.857Z,286.6165,0
2024-09-16T09:43:59.860Z,478.7500,0
2024-09-16T09:44:01.862Z,858.0594,1
2024-09-16T09:44:03.863Z,443.8870,0
2024-09-16T09:44:05.863Z,129.0875,0
2024-09-16T09:44:07.878Z,810.7740,1
2024-09-16T09:44:09.889Z,526.4267,0
2024-09-16T09:44:11.894Z,511.4506,0
2024-09-16T09:44:13.897Z,908.4325,1
2024-09-16T09:44:15.899Z,60.1299,0
2024-09-16T09:44:17.901Z,397.3394,0
2024-09-16T09:44:19.904Z,627.8780,0
2024-09-16T09:44:21.916Z,130.5308,0
2024-09-16T09:44:23.919Z,184.9827,0
2024-09-16T09:44:25.935Z,397.1802,0
2024-09-16T09:44:27.938Z,784.9150,0
2024-09-16T09:44:29.952Z,730.2139,0
2024-09-16T09:44:31.967Z,740.7355,0
2024-09-16T09:44:33.979Z,62.0755,0
2024-09-16T09:44:35.983Z,166.9986,0
2024-09-16T09:44:37.985Z,536.1486,0
2024-09-16T09:44:39.989Z,178.2058,0
2024-09-16T09:44:41.989Z,840.1014,1
2024-09-16T09:44:43.991Z,574.7918,0
2024-09-16T09:44:45.998Z,712.3274,0
2024-09-16T09:44:48.002Z,845.9004,1
2024-09-16T09:44:50.016Z,593.3913,0
2024-09-16T09:44:52.028Z,933.8194,1
2024-09-16T09:44:54.045Z,887.7203,1
2024-09-16T09:44:56.054Z,613.7289,0
2024-09-16T09:44:58.058Z,345.9619,0
2024-09-16T09:45:00.066Z,547.1413,0
2024-09-16T09:45:02.070Z,343.5079,0
2024-09-16T09:45:04.079Z,558.8817,0
2024-09-16T09:45:06.088Z,800.0084,1
2024-09-16T09:45:08.095Z,384.8833,0
2024-09-16T09:45:10.099Z,900.5356,1
2024-09-16T09:45:12.109Z,367.6430,0
2024-09-16T09:45:14.118Z,132.5243,0
2024-09-16T09:45:16.122Z,671.5286,0
2024-09-16T09:45:18.135Z,149.1731,0
2024-09-16T09:45:20.149Z,156.1154,0
2024-09-16T09:45:22.177Z,134.0097,0
2024-09-16T09:45:24.185Z,610.8645,0
